id:ID,:START_ID,:END_ID,:TYPE,description,relationship_type,strength,confidence
r_2ffa2d19,d_e07af921,n_963250f1,CONTAINS,The DesignPrinciple domain contains the concept 'Polymorphic Open/Closed Principle',hierarchical,strong,
r_1b25fc28,d_e07af921,n_98ae255b,CONTAINS,The DesignPrinciple domain contains the concept 'Liskov Substitution Principle',hierarchical,strong,
r_31346dda,d_e07af921,n_6dccefa3,CONTAINS,The DesignPrinciple domain contains the concept 'Interface Segregation Principle',hierarchical,strong,
r_ad892053,d_e07af921,n_d84de76c,CONTAINS,The DesignPrinciple domain contains the concept 'SOLID Principles',hierarchical,strong,
r_197324d4,d_e07af921,n_a3d57b36,CONTAINS,The DesignPrinciple domain contains the concept 'Single Responsibility Principle (SRP)',hierarchical,strong,
r_3549dbb4,d_e07af921,n_7722c762,CONTAINS,The DesignPrinciple domain contains the concept 'Open/Closed Principle (OCP)',hierarchical,strong,
r_dfde3336,d_e07af921,n_f3b4bdbc,CONTAINS,The DesignPrinciple domain contains the concept 'Liskov Substitution Principle (LSP)',hierarchical,strong,
r_c198b366,d_e07af921,n_c78ca6b6,CONTAINS,The DesignPrinciple domain contains the concept 'Interface Segregation Principle (ISP)',hierarchical,strong,
r_989b0d5d,d_e07af921,n_dfce6f46,CONTAINS,The DesignPrinciple domain contains the concept 'Dependency Inversion Principle (DIP)',hierarchical,strong,
r_b0aec08c,d_e07af921,n_320d2762,CONTAINS,The DesignPrinciple domain contains the concept 'Dependency Inversion Principle',hierarchical,strong,
r_0a37ed54,d_e07af921,n_76cca646,CONTAINS,The DesignPrinciple domain contains the concept 'DRY',hierarchical,strong,
r_eb9915dc,d_e07af921,n_53d1749f,CONTAINS,The DesignPrinciple domain contains the concept 'YAGNI',hierarchical,strong,
r_fbd5692e,d_e07af921,n_6ffaaf49,CONTAINS,The DesignPrinciple domain contains the concept 'KISS',hierarchical,strong,
r_a6279dc4,d_e07af921,n_01aef7bc,CONTAINS,The DesignPrinciple domain contains the concept 'GRASP',hierarchical,strong,
r_3ac71189,d_e07af921,n_bc45f343,CONTAINS,The DesignPrinciple domain contains the concept 'Temporal Decomposition',hierarchical,strong,
r_360cacd1,d_e07af921,n_b3aece22,CONTAINS,The DesignPrinciple domain contains the concept 'Information Hiding',hierarchical,strong,
r_f65ca9ec,d_e07af921,n_ef974c04,CONTAINS,The DesignPrinciple domain contains the concept 'Abstraction',hierarchical,strong,
r_fb58c890,d_e07af921,n_ff235e44,CONTAINS,The DesignPrinciple domain contains the concept 'False Abstraction',hierarchical,strong,
r_c4bdfed1,d_e07af921,n_4ec8bcfc,CONTAINS,The DesignPrinciple domain contains the concept 'Deep Modules',hierarchical,strong,
r_2a5eb594,d_e07af921,n_464bb634,CONTAINS,The DesignPrinciple domain contains the concept 'Abstraction in Interfaces',hierarchical,strong,
r_8bc235b1,d_e07af921,n_d43b0e92,CONTAINS,The DesignPrinciple domain contains the concept 'Information Leakage',hierarchical,strong,
r_98e57fc3,d_e07af921,n_5fd702fb,CONTAINS,The DesignPrinciple domain contains the concept 'Comments as Design Tool',hierarchical,strong,
r_c6a23592,d_e07af921,n_664ab977,CONTAINS,The DesignPrinciple domain contains the concept 'Problem Decomposition',hierarchical,strong,
r_58b1b179,d_e07af921,n_ed737014,CONTAINS,The DesignPrinciple domain contains the concept 'Eliminate Duplication',hierarchical,strong,
r_92ab7e2b,d_e07af921,n_40d16a58,CONTAINS,The DesignPrinciple domain contains the concept 'API Design',hierarchical,strong,
r_b2ab3f8a,d_e07af921,n_f13b38e8,CONTAINS,The DesignPrinciple domain contains the concept 'Information Hiding Principle',hierarchical,strong,
r_f536cf79,d_e07af921,n_15e0daf1,CONTAINS,The DesignPrinciple domain contains the concept 'Interface vs Implementation',hierarchical,strong,
r_eb336784,d_e07af921,n_d49f0971,CONTAINS,The DesignPrinciple domain contains the concept 'Complex Interface',hierarchical,strong,
r_3f786512,d_e07af921,n_56ce2dc0,CONTAINS,"The DesignPrinciple domain contains the concept 'Different Layer, Different Abstraction'",hierarchical,strong,
r_4889b67a,d_e07af921,n_2c1341ba,CONTAINS,The DesignPrinciple domain contains the concept 'Design-it-Twice Principle',hierarchical,strong,
r_4df69ed5,d_e07af921,n_43b1c2e1,CONTAINS,The DesignPrinciple domain contains the concept 'Encapsulation',hierarchical,strong,
r_1967d09e,d_e07af921,n_a8253eff,CONTAINS,The DesignPrinciple domain contains the concept 'Variable Naming',hierarchical,strong,
r_32e5586e,d_e07af921,n_c50ae196,CONTAINS,The DesignPrinciple domain contains the concept 'Comments-First Approach',hierarchical,strong,
r_bc3b981e,d_e07af921,n_1eb3f43e,CONTAINS,The DesignPrinciple domain contains the concept 'Incremental Development',hierarchical,strong,
