:ID,name,:LABEL,description,node_count,page,relevance_score,semantic_type,source
n_963250f1,Polymorphic Open/Closed Principle,DesignPrinciple,"A principle that states software entities should be open for extension but closed for modification, promoting the use of abstract base classes and interfaces.",,15,0.9,,12-design-principles.pdf
n_98ae255b,Liskov Substitution Principle,DesignPrinciple,A principle that ensures objects of a superclass shall be replaceable with objects of a subclass without affecting the correctness of the program.,,15,0.9,,12-design-principles.pdf
n_6dccefa3,Interface Segregation Principle,DesignPrinciple,"A principle that states no client should be forced to depend on methods it does not use, advocating for smaller, client-specific interfaces.",,15,0.9,,12-design-principles.pdf
n_9a83ab0d,Parser,CodeStructure,A component of the compiler that converts Haskell source code into an abstract syntax tree.,,84,0.9,,ArchitectureOfOpenSourceApp2.pdf
n_a94028b5,ParserImplementation,CodeStructure,"A concrete implementation of the Parser abstract class, providing specific parsing functionality.",,15,0.8,,12-design-principles.pdf
n_599c9c5d,ParserRubyImplementation,CodeStructure,A specific implementation of the Parser that handles parsing for Ruby language.,,15,0.8,,12-design-principles.pdf
n_d84de76c,SOLID Principles,DesignPrinciple,"A set of five principles that guide software design to make it more understandable, flexible, and maintainable.",,282,0.95,,Clean Architecture A Craftsman's Guide to Software Structure and Design.pdf
n_a3d57b36,Single Responsibility Principle (SRP),DesignPrinciple,"A principle stating that a class should have only one reason to change, focusing on a single responsibility.",,3,0.9,,12-design-principles.pdf
n_7722c762,Open/Closed Principle (OCP),DesignPrinciple,A design principle stating that software entities should be open for extension but closed for modification.,,217,0.95,,Joseph Ingeno - Software Architect’s Handbook_ Become a successful software architect by implementing effective architecture concepts-Packt Publishing (2018).pdf
n_f3b4bdbc,Liskov Substitution Principle (LSP),DesignPrinciple,A principle that states subclasses should be substitutable for their base classes without altering the correctness of the program.,,6,0.95,,DesignPrinciplesAndPatterns.pdf
n_c78ca6b6,Interface Segregation Principle (ISP),DesignPrinciple,Design principle that states no client should be forced to depend on methods it does not use.,,221,0.95,,Joseph Ingeno - Software Architect’s Handbook_ Become a successful software architect by implementing effective architecture concepts-Packt Publishing (2018).pdf
n_dfce6f46,Dependency Inversion Principle (DIP),DesignPrinciple,A design principle that suggests high-level modules should not depend on low-level modules but both should depend on abstractions.,,108,0.95,,Clean Architecture A Craftsman's Guide to Software Structure and Design.pdf
n_320d2762,Dependency Inversion Principle,DesignPrinciple,A principle that emphasizes the importance of depending on abstractions rather than concrete implementations to reduce coupling and enhance maintainability.,,25,0.9,,12-design-principles.pdf
n_76cca646,DRY,DesignPrinciple,A design principle aimed at reducing repetition of software patterns and promoting reusability.,,153,0.9,,Design It!_ From Programmer to Software Architect.pdf
n_53d1749f,YAGNI,DesignPrinciple,You Aren\'t Gonna Need It principle that advises against adding functionality until it is necessary.,,557,0.9,,AW.Implementing.Domain-Driven.Design.pdf
n_6ffaaf49,KISS,DesignPrinciple,"Keep It Simple, Stupid principle emphasizes simplicity in software design to avoid unnecessary complexity.",,205,0.9,,Joseph Ingeno - Software Architect’s Handbook_ Become a successful software architect by implementing effective architecture concepts-Packt Publishing (2018).pdf
n_01aef7bc,GRASP,DesignPrinciple,General Responsibility Assignment Software Patterns that guide the assignment of responsibilities in software design.,,25,0.75,,12-design-principles.pdf
n_4595a156,Maintainability,QualityAttribute,"Maintainability refers to the ease with which a software system can be modified to correct faults, improve performance, or adapt to a changed environment.",,102,0.95,,ArchitectureOfOpenSourceApp2.pdf
n_2d215ebf,Scalability,QualityAttribute,The capability of a system to handle a growing amount of work or its potential to accommodate growth.,,10,0.9,,ArchitectureOfOpenSourceApp2.pdf
n_9446a98a,Performance,QualityAttribute,A quality attribute that measures how efficiently a system performs its tasks.,,132,0.95,,ArchitectureOfOpenSourceApp2.pdf
n_2fae3262,Security,QualityAttribute,The protection of information and systems from unauthorized access or modification.,,102,0.95,,ArchitectureOfOpenSourceApp2.pdf
n_820b8f74,Reliability,QualityAttribute,A software quality attribute that indicates the ability of a system to perform its required functions under stated conditions for a specified period.,,326,0.95,,Software Engineering - Ian Sommerville.pdf
n_7b07323f,HTTP Request Handler,CodeStructure,"A class that combines the functionality of reading and parsing HTTP requests, improving information hiding and simplifying the interface.",,44,0.9,,a philosphy of SD.pdf
n_bc45f343,Temporal Decomposition,DesignPrinciple,"An architectural pattern where the system structure is based on the temporal order of operations, potentially leading to information leakage.",,41,0.8,,a philosphy of SD.pdf
n_b3aece22,Information Hiding,DesignPrinciple,A principle that suggests encapsulating knowledge within modules to reduce complexity.,,39,0.95,,a philosphy of SD.pdf
n_0ec5e7bd,Module Interface,CodeStructure,"Defines the formal and informal aspects of a module\'s interface, including public methods and variables.",,33,0.9,,a philosphy of SD.pdf
n_ef974c04,Abstraction,DesignPrinciple,A design principle that manages complexity by emphasizing essential characteristics and suppressing implementation details.,,3,0.9,,design-principles4.pdf
n_c7193cc4,Cognitive Load,QualityAttribute,The amount of mental effort required to understand and work with a software system.,,20,0.8,,a philosphy of SD.pdf
n_ff235e44,False Abstraction,DesignPrinciple,"An abstraction that omits important details, leading to obscurity and incorrect usage.",,33,0.8,,a philosphy of SD.pdf
n_920ced39,Special-Purpose Module,CodeStructure,"A module tailored to meet specific current needs, potentially requiring refactoring for future use.",,50,0.8,,a philosphy of SD.pdf
n_47560bc6,Interface Design,CodeStructure,Defines operations for accessing and updating data while hiding data representation.,,209,0.9,,Software Engineering - Ian Sommerville.pdf
n_0b954cdd,Text Management Class,CodeStructure,A class responsible for managing the underlying text of a file in a text editor application.,,50,0.8,,a philosphy of SD.pdf
n_c21ae00b,Unix I/O Interface,CodeStructure,"A complex implementation that handles file representation, access, and permissions in Unix systems.",,36,0.9,,a philosphy of SD.pdf
n_198e3bc8,Garbage Collector,CodeStructure,A design pattern for automatic memory management that reclaims memory occupied by objects that are no longer in use.,,62,0.9,,The Architecture of Open Source Applications 2.pdf
n_92ca1f4b,Shallow Module,CodeStructure,"A module where the interface is not significantly simpler than its implementation, indicating poor design.",,186,0.9,,a philosphy of SD.pdf
n_516699e6,Deep Module,CodeStructure,A module that provides powerful abstractions by hiding significant implementation complexity from the user.,,36,0.8,,a philosphy of SD.pdf
n_a2b1dc3f,Modular Design,ArchPattern,An architectural pattern that emphasizes separating functionality into independent modules.,,263,0.95,,ArchitectureOfOpenSourceApp2.pdf
n_f41ec7ca,Waterfall Model,ArchPattern,A linear and sequential approach to software development where each phase must be completed before the next begins.,,55,0.8,,Software Engineering - Ian Sommerville.pdf
n_fc05f27a,Agile Development,ArchPattern,An iterative development methodology that emphasizes early and continuous feedback.,,112,0.9,,swebok-v4.pdf
n_e55f75a2,Module,CodeStructure,A self-contained unit of code that encapsulates functionality and promotes reusability.,,68,0.9,,a philosphy of SD.pdf
n_3c1aac82,Interface,CodeStructure,Defines the operations that a service supports and the format of messages sent and received.,,528,0.85,,Software Engineering - Ian Sommerville.pdf
n_b672f52a,Implementation,CodeStructure,"The actual code that fulfills the promises made by a module\'s interface, hidden from users of the module.",,31,0.8,,a philosphy of SD.pdf
n_90a95d66,Dependency,CodeStructure,"A relationship where one component relies on another, affecting its stability and changeability.",,104,0.8,,Clean Architecture A Craftsman's Guide to Software Structure and Design.pdf
n_9a11a8a4,FileInputStream,CodeStructure,"A class that handles file input operations, allowing for buffering options.",,39,0.9,,a philosphy of SD.pdf
n_4ec8bcfc,Deep Modules,DesignPrinciple,Modules designed to provide simple interfaces while concealing complexity.,,39,0.85,,a philosphy of SD.pdf
n_464bb634,Abstraction in Interfaces,DesignPrinciple,The practice of providing a simplified interface that hides complex implementation details.,,39,0.8,,a philosphy of SD.pdf
n_8874b59c,Sequential I/O,DDDConcept,A common pattern in file handling where data is read or written in a linear sequence.,,39,0.75,,a philosphy of SD.pdf
n_d43b0e92,Information Leakage,DesignPrinciple,"A critical design principle highlighting the risks associated with sharing knowledge across multiple classes, which can lead to maintenance challenges.",,41,0.9,,a philosphy of SD.pdf
n_3bb8ae42,File Reader Class,CodeStructure,"A class responsible for reading files, which may contribute to information leakage if it shares knowledge of file formats with other classes.",,41,0.7,,a philosphy of SD.pdf
n_ab9da3f2,File Writer Class,CodeStructure,"A class responsible for writing files, which can also lead to information leakage when it shares knowledge of file formats.",,41,0.7,,a philosphy of SD.pdf
n_6bd8f222,File Modification Class,CodeStructure,"A class that modifies file contents, which can contribute to information leakage if it is not properly isolated from file format knowledge.",,41,0.7,,a philosphy of SD.pdf
n_5041ffe8,Decorator,DesignPattern,"A structural design pattern that allows behavior to be added to individual objects, either statically or dynamically, without affecting the behavior of other objects from the same class.",,178,0.9,,a philosphy of SD.pdf
n_8b483b37,General-Purpose Modules,CodeStructure,"Modules designed to be reusable across different contexts, enhancing flexibility and maintainability.",,4,0.8,,a philosphy of SD.pdf
n_22b01068,Exception Aggregation,DesignPattern,A design pattern that consolidates multiple exception handlers into a single handler to reduce code duplication and improve maintainability.,,92,0.9,,a philosphy of SD.pdf
n_77dfa187,Interface Documentation,CodeStructure,Documentation that defines abstractions and separates interface comments from implementation comments.,,116,0.9,,a philosphy of SD.pdf
n_5fd702fb,Comments as Design Tool,DesignPrinciple,Using comments strategically to enhance code understanding and maintainability.,,7,0.7,,a philosphy of SD.pdf
n_9dc8a817,Object-Oriented Programming,DesignPattern,"A programming paradigm based on the concept of \'objects\', which can contain data and code to manipulate that data.",,157,0.95,,a philosphy of SD.pdf
n_1f357d39,Performance Design,QualityAttribute,Focus on optimizing the performance of software systems during the design phase.,,7,0.85,,a philosphy of SD.pdf
n_664ab977,Problem Decomposition,DesignPrinciple,The process of breaking down complex problems into manageable parts.,,7,0.9,,a philosphy of SD.pdf
n_49b3d191,Dependency Management,CodeStructure,The practice of managing dependencies between shared libraries and services to avoid complexity and maintainability issues.,,243,0.85,,Software.Architecture.The.Hard.Parts.pdf
n_42dfdcb9,HTTPRequest,CodeStructure,Represents a class that handles HTTP request parameters.,,46,0.9,,a philosphy of SD.pdf
n_eadbbc07,getParams,DesignPattern,"Method that exposes internal data structure of parameters, violating encapsulation.",,46,0.8,,a philosphy of SD.pdf
n_26053ff6,getParameter,DesignPattern,Improved method for retrieving parameter values while hiding internal representation.,,46,0.85,,a philosphy of SD.pdf
n_a9eafb4a,getIntParameter,DesignPattern,"Method that converts string parameter values to integers, enhancing usability.",,46,0.85,,a philosphy of SD.pdf
n_eb9ecbfb,HTTPResponse,CodeStructure,Represents a class that handles HTTP responses.,,46,0.9,,a philosphy of SD.pdf
n_a5dc8bc0,TextDocument,CodeStructure,A class that serves as a wrapper for text editing functionalities but primarily delegates operations to the TextArea class.,,57,0.9,,a philosphy of SD.pdf
n_24f61a49,TextArea,CodeStructure,"A class that implements the actual text editing functionalities, such as inserting strings and managing cursor position.",,57,0.9,,a philosphy of SD.pdf
n_2103ef69,Combined Module,CodeStructure,A module that combines functionalities of multiple classes to simplify the interface and reduce complexity.,,71,0.9,,a philosphy of SD.pdf
n_06fb4420,HTTP Request Parsing,DesignPattern,A pattern for handling HTTP requests by reading and parsing them efficiently.,,71,0.8,,a philosphy of SD.pdf
n_ed737014,Eliminate Duplication,DesignPrinciple,"A principle that encourages refactoring code to remove repetitive patterns, enhancing maintainability.",,71,0.85,,a philosphy of SD.pdf
n_b8081f21,Java I/O Library,ArchPattern,"An architectural pattern that demonstrates combining classes to provide default behaviors, such as buffering.",,71,0.8,,a philosphy of SD.pdf
n_79718134,Complexity,QualityAttribute,"A measure of how complicated a system is, impacting maintainability and understandability.",,68,0.85,,a philosphy of SD.pdf
n_ab6293fb,Modularity,QualityAttribute,"The degree to which a system\'s components can be separated and recombined, enhancing maintainability.",,68,0.9,,a philosphy of SD.pdf
n_eb449c25,Global Variable,DesignPattern,"A variable that is accessible from any part of the program, often used to store shared state.",,85,0.7,,Clean Architecture A Craftsman's Guide to Software Structure and Design.pdf
n_6b0fdfd6,System Global Information,CodeStructure,"Information that is shared across the system, typically stored in a context object to manage state effectively.",,62,0.8,,a philosphy of SD.pdf
n_32d51954,Exception Handling,DesignPattern,"A design pattern that deals with the management of exceptions in software, focusing on reducing complexity in interfaces.",,88,0.9,,a philosphy of SD.pdf
n_40d16a58,API Design,DesignPrinciple,"A principle that advocates for designing APIs in a way that avoids exceptions, thus reducing complexity.",,88,0.85,,a philosphy of SD.pdf
n_7c2686a8,NFS Client Behavior,CodeStructure,The structure of the NFS client that handles file operations and manages exceptions related to server responses.,,88,0.8,,a philosphy of SD.pdf
n_082c2ef0,User Interface Module,CodeStructure,Module responsible for handling user interactions and interface logic.,,53,0.9,,a philosphy of SD.pdf
n_852e0069,Text Class,CodeStructure,Class that manages text operations such as deletion and cursor movement.,,53,0.9,,a philosphy of SD.pdf
n_060b91a5,General-Purpose Text API,CodeStructure,"API that provides a set of general methods for text manipulation, promoting reusability.",,53,0.85,,a philosphy of SD.pdf
n_cb341eca,Backspace Method,DesignPattern,Method for handling backspace functionality in text manipulation.,,53,0.8,,a philosphy of SD.pdf
n_d62a30fc,Delete Method,DesignPattern,Method for handling delete functionality in text manipulation.,,53,0.8,,a philosphy of SD.pdf
n_f13b38e8,Information Hiding Principle,DesignPrinciple,Design principle that promotes encapsulation and separation of concerns.,,53,0.9,,a philosphy of SD.pdf
n_aa18abed,Fault Tolerance,ArchPattern,The ability of a system to continue operating properly in the event of a failure of some of its components.,,309,0.9,,Software Engineering - Ian Sommerville.pdf
n_4a649f41,Decorator Pattern,DesignPattern,"A structural design pattern that allows behavior to be added to individual objects, either statically or dynamically, without affecting the behavior of other objects from the same class.",,60,0.9,,a philosphy of SD.pdf
