rel_ID,:START_ID,:END_ID,:TYPE,description,relationship_type
r_50e69a72,d_e07af921,n_963250f1,CONTAINS,The DesignPrinciple domain contains Polymorphic Open/Closed Principle,hierarchical
r_55f21bd4,d_e07af921,n_98ae255b,CONTAINS,The DesignPrinciple domain contains Liskov Substitution Principle,hierarchical
r_cad24001,d_e07af921,n_6dccefa3,CONTAINS,The DesignPrinciple domain contains Interface Segregation Principle,hierarchical
r_96aab094,d_e07af921,n_d84de76c,CONTAINS,The DesignPrinciple domain contains SOLID Principles,hierarchical
r_3f2480e3,d_e07af921,n_a3d57b36,CONTAINS,The DesignPrinciple domain contains Single Responsibility Principle (SRP),hierarchical
r_6a55f0d4,d_e07af921,n_7722c762,CONTAINS,The DesignPrinciple domain contains Open/Closed Principle (OCP),hierarchical
r_b37b677b,d_e07af921,n_f3b4bdbc,CONTAINS,The DesignPrinciple domain contains Liskov Substitution Principle (LSP),hierarchical
r_98ee7e4e,d_e07af921,n_c78ca6b6,CONTAINS,The DesignPrinciple domain contains Interface Segregation Principle (ISP),hierarchical
r_262cdfae,d_e07af921,n_dfce6f46,CONTAINS,The DesignPrinciple domain contains Dependency Inversion Principle (DIP),hierarchical
r_1cc1a210,d_e07af921,n_320d2762,CONTAINS,The DesignPrinciple domain contains Dependency Inversion Principle,hierarchical
r_ac0170db,d_e07af921,n_76cca646,CONTAINS,The DesignPrinciple domain contains DRY,hierarchical
r_205efd17,d_e07af921,n_53d1749f,CONTAINS,The DesignPrinciple domain contains YAGNI,hierarchical
r_6c0aad26,d_e07af921,n_6ffaaf49,CONTAINS,The DesignPrinciple domain contains KISS,hierarchical
r_5505d750,d_e07af921,n_01aef7bc,CONTAINS,The DesignPrinciple domain contains GRASP,hierarchical
r_f55a9405,d_e07af921,n_bc45f343,CONTAINS,The DesignPrinciple domain contains Temporal Decomposition,hierarchical
r_ac72ac69,d_e07af921,n_b3aece22,CONTAINS,The DesignPrinciple domain contains Information Hiding,hierarchical
r_345ee186,d_e07af921,n_ef974c04,CONTAINS,The DesignPrinciple domain contains Abstraction,hierarchical
r_e3e7d8c6,d_e07af921,n_ff235e44,CONTAINS,The DesignPrinciple domain contains False Abstraction,hierarchical
r_2766df7a,d_e07af921,n_4ec8bcfc,CONTAINS,The DesignPrinciple domain contains Deep Modules,hierarchical
r_7fddeecb,d_e07af921,n_464bb634,CONTAINS,The DesignPrinciple domain contains Abstraction in Interfaces,hierarchical
r_353af6b1,d_e07af921,n_d43b0e92,CONTAINS,The DesignPrinciple domain contains Information Leakage,hierarchical
