id,source,target,relationship_type,properties
rel_000001,$OUTPUT global,$PAGE context,DEPENDS_ON,"{description: ""The $OUTPUT global object depends on the $PAGE context to determine how to render the output.""}"
rel_000002,.NET Framework,Component Framework,IMPLEMENTS,"{description: "".NET Framework implements a component framework for building applications with defined interfaces.""}"
rel_000003,.jar Files,Shared Libraries,PART_OF,"{description: "".jar files can contain shared libraries, promoting modularity and reuse in Java applications.""}"
rel_000004,.jar Files,Shared Libraries,PART_OF,"{description: "".jar files serve as a form of shared libraries in Java, packaging multiple classes for reuse.""}"
rel_000005,4+1 View Model,Architecture Description Language (ADL),RELATES_TO,"{description: ""The 4+1 View Model can utilize ADLs to describe the architecture components and their interactions.""}"
rel_000006,4X Game Formula,Planet Object,PART_OF,"{description: ""The Planet Object is a fundamental component of the 4X Game Formula, representing locations for exploration and expansion.""}"
rel_000007,@font-face,Web-safe fonts,RELATES_TO,"{description: ""Both are methods of typography in web design, with @font-face providing more customization compared to web-safe fonts.""}"
rel_000008,A/B Testing,Rolling Upgrade,RELATES_TO,"{description: ""A/B testing can be used in conjunction with rolling upgrades to evaluate different versions of software during deployment.""}"
rel_000009,AADL,SysML,RELATES_TO,"{description: ""Both AADL and SysML are used for documenting architectures in engineering contexts.""}"
rel_000010,AAM,AA,CONTAINS,"{description: ""AAM includes the assessment factor (AA) as one of its components.""}"
rel_000011,AAM,AAF,CONTAINS,"{description: ""AAM includes the adaptation component (AAF) as one of its components.""}"
rel_000012,AAM,SU,CONTAINS,"{description: ""AAM includes the understanding component (SU) as one of its components.""}"
rel_000013,ABI (Application Binary Interface),Open Closed Principle,IS_ENABLED_BY,"strength: 0.81,
                                   description: ""Reverse: Interfaces enable OCP through contracts"",
                                   confidence: 0.8,
                                   source_type: ""semantic_inference"""
rel_000014,ABI (Application Binary Interface),Open-Closed Principle,IS_ENABLED_BY,"strength: 0.81,
                                   description: ""Reverse: Interfaces enable OCP through contracts"",
                                   confidence: 0.8,
                                   source_type: ""semantic_inference"""
rel_000015,ABI (Application Binary Interface),Open-Closed Principle (OCP),IS_ENABLED_BY,"strength: 0.81,
                                   description: ""Reverse: Interfaces enable OCP through contracts"",
                                   confidence: 0.8,
                                   source_type: ""semantic_inference"""
rel_000016,ABI (Application Binary Interface),Open/Closed Principle,IS_ENABLED_BY,"strength: 0.81,
                                   description: ""Reverse: Interfaces enable OCP through contracts"",
                                   confidence: 0.8,
                                   source_type: ""semantic_inference"""
rel_000017,ABI Compatibility,Extensibility,DEPENDS_ON,"{description: ""Maintaining ABI compatibility is crucial for extensibility, as it allows for the integration of new features without recompilation.""}"
rel_000018,ACE_Message_Queue,ACE_Message_Block,CONTAINS,"{description: ""The ACE_Message_Queue contains multiple ACE_Message_Blocks, demonstrating a composite structure for message handling.""}"
rel_000019,API,BSD Sockets API,IMPLEMENTS,"{description: ""The API is built upon the BSD Sockets API, leveraging its established interface for network communication.""}"
rel_000020,API,Maintainability,RELATES_TO,"{description: ""A well-structured API enhances the maintainability of the MediaWiki system.""}"
rel_000021,API,Performance Optimization,RELATES_TO,"{description: ""The API\'s design and implementation can significantly impact the performance of MediaWiki.""}"
rel_000022,API,User Interface,RELATES_TO,"{description: ""The API serves as the interface for the user interface, defining how users interact with the software.""}"
rel_000023,API Access,Dynamic Discovery Service,DEPENDS_ON,"{description: ""API access is essential for a dynamic discovery service to interact with external components.""}"
rel_000024,API Access Facade,Layered Architecture,PART_OF,"{description: ""The API access facade is a component of the layered architecture, serving as the entry point for user interface interactions.""}"
rel_000025,API Design,Maintainability,DEPENDS_ON,"{description: ""A well-designed API contributes to the maintainability of the software system.""}"
rel_000026,API Design,Scalability,DEPENDS_ON,"{description: ""The design of the API must consider scalability to accommodate future growth in device control.""}"
rel_000027,API Layer,Microservices Architecture,RELATES_TO,"{description: ""The API layer is often used in microservices architecture to manage interactions between the user interface and multiple services.""}"
rel_000028,API Request,Service Interface,DEPENDS_ON,"{description: ""API Requests are made through Service Interfaces to interact with services in a system.""}"
